recall_number,product_description,expected_category,sample_reason
H-0112-2026,Arctic Shores; Best Yet; Great American; Master Catch branded Frozen cooked shrimp; 2lbs; 1lbs; 12oz bags;   UPC: 041130810497; 041130810411; 041130811685; 041130810817; 042187002705; 829944012623; 042187002712; 829944012630; 042187002729; 829944011510; 041130812385; 042187002736; 042187002736; 829944013576; 829944012616; 829944093073; 041130810466; 041130810473; 042187002743; 829944011541; 717544137047; 829944012173; 829944002631; 042187002750; 829944011565; 829944010674; 829944011381; 042187002774; 829944092540; 041130812392,,stratified
F-0925-2013,"Cold Smoke Salmon in vacuum plastic bags, labeled in part: ***BLACK BEAR***of the BLACK FOREST*** Naturally Smoked***Smoked Salmon***Extra Fancy***1 lb.***",,stratified
F-1353-2024,"Scallop Pot Seas 703161, 860 kg.  SAP Code:  30589206.  Kerry Ingredients, 3400 Millington Road, Beloit, WI  53511",,stratified
H-0157-2026,"Kroger Raw Colossal EZ Peel Shrimp, net wt. 2lbs., UPC 20011110643906. Product is packaged in transparent printed bag with a blue band on the top with yellow and red details.",,stratified
F-0577-2018,"REEF NET brand Wild Pacific Smoked Salmon.  Product is Ready-To-Eat, hot smoked, vacuum packaged in 1 lb.; 1.5 lbs.; and 2 lbs. package, keep refrigerated or keep frozen.      The label is read in parts: ""***REEF NET Brand *** Wild Pacific Smoked Salmon***Ingredients: Fish, salt, brown sugar, natural wood smoke***Important: Keep frozen until used. Thaw under refrigeration immediately before uses***BARLEAN'S FISHERY***3660 Slater Road, Ferndale, WA 98248***"".",,stratified
H-0473-2025,READY MEALS DUO TUNA SALAD W/ CRACKERS,,stratified
F-2935-2017,Sea Best - 4oz. Raw Breaded Pollock Squares (Whole Muscle Pollock) -Net wt. 10 lbs. (4.54 kg)  Packed for: Beaver Street Fisheries,,stratified
F-0208-2020,"Fortune Fish & Gourmet fresh Atlantic salmon, whole, filleted, and filleted without belly sold by weight in cardboard box with ice",,stratified
F-1643-2022,"Stumptown Cold Brew Coffee with Cream & Sugar Chocolate.  11 Fl Oz.  325 ML.  UPC 8 55186-00686 1.    Sold in 12-count case UPC 108551860006861.    Manufactured for Stumptown Coffee Roasters, 100 SE Salmon St. Portland, OR  97214",,stratified
F-0266-2021,"RUFFLES ""PARTY SIZE"" ORIGINAL POTATO CHIPS 13 1/2 oz. UPC 028400034005 packaged in flexible bags",,stratified
F-0261-2024,"Quick & Fresh, Turkey & Muenster Pretzel Roll, Net Wt. 6.5 Oz. Single Serving, Keep refrigerated",,stratified
F-1455-2018,"WOMAN ORGANIC DARK CHOCOLATE BERRY bar NET WT. 1.8 OZ (51g) Manufactured and Distributed by eBars, LLC, Franklin, TN 37064 UPC 8 55529 00418 9",,stratified
F-3066-2015,"Dark Chocolate with Cranberry, Roasted Nuts & Sea Salt, sold under brand Willit House.      Each bar is wrapped in gold foil and then wrapped with a box.  Each box contains 12  bars and each bar has a net weight 60 gram.",,stratified
H-0135-2026,"47518 - Nonpareil, Semi-Sweet Chocolate (Christmas Seeds), 25lb Bulk Cases Packaged into Various Size Units After distribution.",,stratified
F-0560-2024,"Wilcox Premium Double Chocolate Ripple in 1.5QT, Quart, and Pint sizes",,stratified
F-1268-2017,SunRidge Farms Dark Chocolate Pistachios Bulk PLU# 70289 and retail units packaged in clear plastic tub.,,stratified
F-2914-2015,"Free Range Snack Co. Island Fruit and Nut Trail Mix, Net We 16 oz (454g)",,stratified
F-0246-2021,"Chocolate Selection (Holiday and regular)    1.Holiday Selection label reads in part: ""Lake Champlain Chocolates ***Chocolate Selection***Net Wt 9 oz. (255g)***An Irresistible 'BEST OF' Holiday Collection***Ingredients: DARK, MILK, AND 'WHITE CHOCOLATE...***Lake Champlain Chocolates***750 Pine Street***Burlington, Vermont 05401***15 PIECES""   Online Stock Code: 1X301-015001-1  1. UPC: 76993304604    2. Holiday selection label reads in part: Lake Champlain Chocolates Chocolate Selection 1.1 lbs.**Ingredients: DARK, MILK, AND 'WHITE CHOCOLATE...Lake Champlain Chocolates750 Pine Street Burlington, Vermont 05401 15 PIECES   Stock code:1X301-030002-1  UPC: 76993304605    3.Lake Champlain Chocolates Chocolate Selection, 1.1 lbs. Ingredients: DARK, MILK, AND 'WHITE CHOCOLATE...Lake Champlain Chocolates 750 Pine Street Burlington, Vermont 05401, 30 PIECES""   Online Stock Code: 1Y301-030002-1  UPC: 76993304603    4. Lake Champlain Chocolates Chocolate Selection, Net Wt 9 oz. (255g) Ingredients: DARK, MILK, AND 'WHITE CHOCOLATE...Lake Champlain Chocolates 750 Pine Street Burlington, Vermont 05401 15 PIECES   Online Stock Code: 1Y301-015001-1  UPC: 76993304602",,stratified
H-0329-2025,"Zinger Pickle products under the following labels:   1.  Gedney Zinger Chips, item 18800, 24 fl oz.  (1-1/2 Pt) 710mL.  UPC 0 41660-00188 4.   2.  Gedney Zingers Dill Babies, item 18600, Net 24 fl oz. (1-1/2 Pts) 710mL. UPC 0 41660-00186 0.  Refrigerate after opening.  Distributed by Gedney Foods Co, Burnsville, MN  55438  Product of Mexico.",,stratified
F-0284-2020,Mann's Snacking Favorites Organic Veggie Hummus Snack Tray   4 x 16.5 oz.  UPC: 716519020582,,stratified
F-1660-2024,"1. Freshness Guaranteed Patriotic Red, White & Blue Pretzel Twists, Net Wt 14 oz., UPC 78742 03913, 8/14oz case 2. Palmer Candy Frosted Patriotic Pretzels, Item 10757, Net Wt 28 lbs, UPC 77232 10757",,stratified
H-0769-2026,"Dakota Honey Company Spreadable Spun Honey, Cinnamon-Infused.  Stir before use.   Produced in Winner, SD.  Packaged in the following sized plastic jars:   1.  Net Wt 4 oz (113g) UPC 8 60012-41980 7.   2.  Net Wt 12 oz (340g)  UPC 8 60010-57963 3.",,stratified
F-0127-2021,"J&O Mixed Veggie Cup with Dip, Net Weight 5.0 oz. (128 g), UPC  95631-85818.  Mfg By:  RDW, Pueblo CO 81001",,stratified
F-0331-2015,"Good Herbs, Inc., LOBELIA, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",,stratified
F-2120-2015,"JCB FLAVORS, LLC, Product Code 4006500812 / 40650/406500812/771756/ 40650, Cumin Ground #400650/40650/44650, 12x 8oz jar,  12x 3.4 oz jar, 12 x 16 oz jar,  1 x 16 oz jar,  ,4 x 5 lb jug,  bulk ( 25 lb, 10 lb, 2 lb) , UPC: 66049248116, 66049248106, 66049248125, 014641001128, 014641001104.",,stratified
F-1628-2014,"Jalapeno Ground 40, Elite Spice Code #JP9520, 50 lb poly-lined cartons labeled in part ***Elite Spice Inc. 7151 Montevideo Road, Jessup MD. 20794***",,stratified
F-0429-2015,"Good Herbs, Inc., THYME, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",,stratified
F-0368-2015,"Good Herbs, Inc., PANCREAS SUPPORT 2, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",,stratified
F-1586-2020,"Item 83976 Pico De Gallo Salsa Mild, Refrigerated, net wt.	16 OZ, packaged in Plastic Container.",,stratified
F-1421-2020,"Saddlin' Up Salsa Medium, item number 83259, refrigerated product, ready to eat product, packaged in a 15 oz. plastic tub with a plastic lid. UPC 88694 83255.",,stratified
F-1950-2015,"GROUND CUMIN, Net Wt. 5 lbs (2.3 Kg), UPC 7 52186 82560 0.",,stratified
F-1989-2015,"Culinary Masters, MASTERS PREMIUM FAJITA SEASONING, Net Wt. 24 oz. Distributed by Atlanta Foods International, Atlanta, GA 30303.",,stratified
F-1985-2015,WILDSEASON CAROLINA BBQ RUB,,stratified
F-0937-2017,"Prostax Forte, (50,000 capsule bulk)",,stratified
F-0482-2015,"Endurance Pre Race Lime , Dietary Supplement   Packaged under the label Stronger Faster Healthier Pack. Packaged in: 2 lb (32 oz),  and 30 gram sizes",,stratified
F-0352-2015,"Good Herbs, Inc., MULTI-HERBAL, 1 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",,stratified
F-0565-2016,Celestial Seasonings Roastaroma Herbal Tea Lot code: Best Before 20DEC17 Pack size: 6 retail units (20 count)/ per case,,stratified
F-1311-2014,"Biogenix USA M1 capsules, packaged as a bulk product in clear plastic bags.",,stratified
F-0951-2020,"Benefiber Prebiotic Fiber Supplement, packaged in the following ways 1) Net Wt. 500 g (17.6 oz) bottle. UPC 886790218302 and 2) Net Wt. 760 g bottle UPC 8886790211907",,stratified
F-0328-2024,Similac Probiotic Tri-Blend - 0.017oz (0.50g) packaged in foil packets. 50 foil packets per carton - 3 cartons per case.,,stratified
F-0197-2021,"Valanga Gourmet brand Snickerdoodle Cookie with cinnamon sugar on the outside. Each cookie is wrapped and sold individually. Expected shelf life 6 months frozen and 2 months refrigerated.  Net wt. 4.4 oz (124g). UPC   814524616004.    The Snickerdoodle Cookie label is read in parts: ""***Ingredients: Flour (Wheat Flour, Malted Barley Flour Niacin, Iron (Reduced) Thiamine Mononitrate Riboflavin Folic Acid), Sugar, Margarine (Palm and Soybean Oil, Water, Salt, Soy Lecithin, Vegetable Mono & Diglycerides Potassium Sorbate (A Preservative), Citric Acid, Natural and Artificial Flavor, Beta Carotene (Color), Vitamin A Palmitate Added, Whey), Eggs, Invert Sugar, Cream of Tartar, Cinnamon, Salt, Baking Soda, Vanilla Extract (Water, Alcohol, Vanilla Bean Extractives)     ***Possible Traces of Peanuts and Tree Nuts *** Avalanche Distributing LLC, Zillah, WA 98953 ***Local call 509-829-5355 ***Re-order call 1-800-514-4562 ***"".",,stratified
F-1044-2017,Aloe & L Glutamine Dietary Supplement (unknown container size),,stratified
F-3369-2017,"Thymus Plus, No. 114, 90 Capsules, Dietary Supplement",,stratified
F-1565-2023,"100 vegetarian  Fenugreek Capsules 90 count, 600mg, packaged in 150cc Amber Glass Packer  with White Polypropylene Cap.",,stratified
F-0708-2025,"Arepas de Chocolo, Abuelas Food Company, Delicias de la Abuela's, Net Weight: 22.5oz. (638g), 5 units per package, Vacuum seal packages and twist tie bags, KEEP REFRIGERATED. UPC 850283002037",,stratified
F-0847-2016,Pioneer Hush Puppy Mix  NET WT 5 LB 2.27 kg,,stratified
F-1222-2023,"Cargill Trisodium Citrate Dihydrate packaged in 50 lb. paper bags and 2,000 lb. supersacks.  Product item ids:   1. SKU 100002299, TSC DIHYD FN 50LB BG 6132-04-3 KH FC 2. SKU 100105400, TSC DIHYD FN 2000LB RED HNDL SS KH 3. SKU 100106066, TSC DIHYD FN 2000LB RED HNDL SS KH FCC 4. SKU 100105370, TSC DIHYD GNLR 50LB BG KH FCC 5. SKU 100105374, TSC DIHYD GNLR 2000LB RED HNDL SS KH FCC",,stratified
F-1092-2016,"Peru Food Mote Corn Maiz Mote Net Wt. 15 oz.   Imported and distributed by: Peru Food Import Inc.PO Box 419 West New York, NJ 07093    UPC 812125009628",,stratified
F-3171-2017,"B28993,  BATTER MIX X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",,stratified
F-0759-2019,"FLECHAZO 36 pieces Net Wt. 1 lb. 12.5 oz. packaged in a clear plastic jar, 6 jars per case",,stratified
F-0988-2016,"CITTERIO PEPPERONI, sold in a deli bag.  This is a deli service item",,stratified
F-0134-2022,Cedar s Organic Mediterranean Hommus 10 oz.,,stratified
F-0989-2024,Quaker Oatmeal Squares Brown Sugar 14.5 oz; 21 oz; 43.5 oz 3 Pack; 29 oz 2 Count,,stratified
F-1337-2019,"Dragonfly Dehydrate Guava  Ing: Guava, Sugar, Salt   Net Wt: 5.25 ozs 150g  Distributed by: U.S. Trading Company   Product of Thailand   Item Number:37115   UPC: 721557371152",,stratified
F-3008-2017,"A24371, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",,stratified
H-1079-2026,"Adndale Magnesium Glycinate Gummies 400 mg. Plastic bottle containing 90 gummies. Net weight: 11.36 ounces. Serving size: 2 gummies. UPC: 860008784551 Firm name and address listed on label: Dkiru Ltd, Keepers Cottage, 3 Dublin Rd, Leixlip, Co. Kildare W23 H3C4, Ireland",,stratified
F-0231-2024,"Fresh Creative Cuisine White Label, Spicy Italian Super Hoagie, Case of 6, Keep refrigerated",,stratified
F-0710-2013,"""***Avena de Aqu¿ Si Azucar A¿adida****8oz****Fabricado por Postres de Aqui, Inc. Calle B Parrio Plamas Cata¿o PR 00962***""",,stratified
F-0680-2022,Dole 14oz Southern Slaw  Product UPC 071430010365,,stratified
F-1640-2016,"Dr. Praeger's Black Bean Burger (CN Labeled) (Vegetarian), 3.3 oz., 10 lbs (4.54 kg), Best if used by: May-12-2018, UPC (01) 0 0080868 06616, Dr. Praeger's Sensible Foods, Elmwood Park, NJ 07407",,stratified
F-1639-2023,Tropical Flute / Pre-Cut 12 Slices; parve; 1 PACK; UPC: 0-91404-15243-3,,stratified
F-0776-2022,Dole 9.1 oz  Peppercorn Ranch Chopped Kit  UPC: 0-71430-00093-9  SKU: 728,,stratified
F-0665-2023,"Stir-Fried Kimchi distributed in un-labeled plastic containers 12oz.  Containers were then labeled at H-mart, G-mart, or M2M retail store.",,stratified
F-3072-2017,"A81252, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",,stratified
F-1639-2017,"Jugos La Morove¿a, Tamarindo (Tamarind) ,Elaborado y Envasado por Jugos La Morove¿a, Carr 634 km 5.1, Bo. Franquez, Morovis PR 00687",,stratified
F-1904-2014,"Pastene ITALIAN TRIVELLA #69 , 16 oz cellophane bag.   Imported from Italy. Imported by the Pastene Company, Canton, MA    Item Number:7087  UPC: 066086070870",,stratified
F-1176-2019,El Rey Chocolitas 12.69oz (360gr) and 2.2lb (1 Kg),,stratified
F-1515-2014,"Bueno GC NM  Hatch Valley Hot 5-5# Z, Product Item Number 1056-5. Packaged in sealed poly film pouches.  All packed in cardboard shipper box that is then sealed with attached shipper label. Total package size  5 units of 5 lbs each per case, totaling 25 lbs.",,stratified
