recall_number,product_description
F-3078-2017,"A82415, BATTER MX X3, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1794-2017,"Lipari Old Tyme Colby Longhorn, 2/15#"
F-2851-2017,Date Chopped-NATURAL 70DATE12
F-2856-2017,DR Mac 7 70MACA04
F-3124-2017,"A98639, PREDUST X2, NET WT 40 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3086-2017,"A83214, BATTER MX X1@, NET WT 2,000 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1592-2017,"NSM, Extra Fine Granulated Sugar, Net Wt. 50 lbs. (22.7 kg), in a poly liner."
F-2580-2017,"New Punjab Sweets, Jalebi"
F-0853-2018,"PREMIUM HAMS( Under the following Trade Names -  16CT RIBBON, BLUE RIBBON SUNBEAM, ALDIS)"
F-3085-2017,"A82868, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3017-2017,"A26089, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2557-2017,MURRYS PRE COOKED STICKS 6/2 1 OZ
F-2147-2017,"BULK PRODUCT: MYPROTEIN, MYPRE Europe Base, bulk powder used for further processing in Europe"
F-3073-2017,"A81373, BATTER MIX X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3065-2017,"A80398, BATTER MX X1@, NET WT 2000 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3290-2017,"B84127, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2314-2017,"Aunt Jemima(R) Cinnamon Swirl French Toast, 144 COUNT, NET WT 13.5 LBS, UPC001960005880"
F-3002-2017,"A22708, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3285-2017,"B81954, BATTER MIX, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2960-2017,Clif Kid Zbar Protein Variety Pack  30-count
F-0081-2018,"085194 - Wegmans Turnovers, Assorted, 2 Pack, 9 oz. UPC:  0 77890 85194 4"
F-1491-2017,"Peppermint Bark packaged in 4oz. (UPC 026133800000),12 oz. (UPC 026133700000) plastic tray containers, and 9 oz. tubs (UPC 026267900000) for retail sale, labeled with Hy-Vee scale ticket. The product was labeled HyVee West Des Moines, IA."
F-1964-2017,"Kangaroo jerky, brand Trophy Series, heat treated shelf stable packaged in hermetically sealed packages. Net wt. 3 oz.  UPC 16831 00550"
F-3532-2017,"Gazab Green Raisins, 7 oz. 14 oz. packages, 20/25 packs/carton"
F-2324-2017,HEB White RT  UPC 4122035774 and HEB ST White UPC 4122088001 all units 24 oz per bag
F-3341-2017,Natures Promise Cascade Trail Mix 12oz.
F-2854-2017,Dates Chopped-Organic 70DATE11
F-3021-2017,"A26788, BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3144-2017,"B10245, CRAX MEAL X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3170-2017,"B28374,  BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3143-2017,"B10238, CRAX MEAL X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1957-2017,"AFC Edamame Soybeans in Pods, 8 oz , refrigerated, in cardboard container.  UPC 0-23012-00261-9"
F-0185-2018,"Mann's Power Blend, 20 oz bags ;  UPC -716519000416- US   10 oz. bags UPC -716519013119 - US and Canada"
F-3135-2017,"B10084, FINE CRAX MEAL, NET WT 25 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-0625-2018,Rugby Cerovite Liquid 236 mL UPC 00536-2790-59
F-3309-2017,"B89414, BATTER MX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3068-2017,"A80567, BATTER MX X1@, NET WT 2000 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3001-2017,"A22255, BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3298-2017,"B86031, BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3032-2017,"A28283,  BATTER MIX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2682-2017,"FPI 1/10LB Country Style Battered Cod Portions 3.75oz,  Item Number: 02283"
F-3525-2017,"Major D-Vita Drops, 1 2/3 oz (50 mL)"
F-3306-2017,"B89223, BATTER MX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1576-2017,"McCormick & Co., Inc., Stubbs Barbecue. 18oz  Best By Date of January 17, 2020."
F-3601-2017,"DNPX Powder, 30 Blue Razz"
F-2855-2017,Dates Whole Pitted 80DATE02-B
F-3520-2017,"Rugby Ferrous Sulfate Liquid One Pint, (473 mL)"
F-2152-2017,"PERFORMIX(TM) CREA-BEAD, MULTI-PHASE CREATINE, BLUE RAZZ ICE, NET WT 11.1 OZ (315G), Distributed by Performix LLC, 221 S. Cherokee St., Denver, CO  80223, UPC 8 11274 02204 5"
F-3591-2017,Dr. Jekyll V2 Orange Burst Domestic 30; Dr. Jekyll Orange Burst domestic sample packs
F-2568-2017,SCHOONER PRE-COOKED CRUNCHY FLOUNDER FILLETS 12/16 OZ
F-3286-2017,"B82379, BATTER MIX, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-0030-2018,"Diet Rite, Pure Zero Cola, 0 calories, 0 caffeine, 0 sodium, Bottled under the authority of Dr. Pepper/Seven up Inc. Plano TX. packed in 2 liter bottles, 0.5 liter bottles, and 12 oz cans."
F-2783-2017,"Icelandic 1/10LB Guinness Beer Battered Cod Tenders 1-2 oz.., Item Number: 10026730"
F-3516-2017,"Rugby Cerovite Liquid,  8 oz. 236ML"
F-3133-2017,"B10064, FINE CRAX MEAL, NET WT 25 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-0585-2018,"Badusha, 1 lb. clear plastic clamshell containers."
F-3159-2017,"B24001, BATTER MX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3434-2017,Extra Large Coated Jo-Jo Wedges / 00048 (5 lb bags)
F-3009-2017,"A24507, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1862-2017,"iXL Advanced Performance Matrix, Nutritional Premix, Net Wt. 50 lbs., Item No. 136375."
F-0457-2018,"Yorgos FOODS Original Hommus  8 oz. (227g) UPC: 7 56248 10002 5 and 16 oz. (454g) UPC: 7 56248 10005 6; 32 OZ UPC: 7 56248 10010 0; NET WT. 5 LBS 80 oz (2268g) UPC: 7 56248 10100 8.  Product is packaged in a clear plastic container, keep refrigerated."
F-2668-2017,"Sea Queen 8/13.1oz Beer Battered Cod,  Item Number: B1414"
F-3565-2017,"Joy's Gourmet Pesto, All Natural, Net Wt. 10 OZ. (280g)"
F-2201-2017,Fresh Mozzarella;  No brand name. Shipped in 30 lb. plastic bucket
F-2537-2017,"BIRDS EYE CHILIES MJG # 8178, Polybags Net wt. 25 Kg (50-55 Lbs.)  Imported from Madagascar"
F-2841-2017,Apricot Dice Large-SO2 70APRIC01
F-3127-2017,"A99493, PREDUST X4@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3074-2017,"A81627, BATTER MX X3@, NET WT 2000 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2573-2017,SIEMER PRE COOKED STYLED COD TAILS 4 OZ 6/4 LB
F-2148-2017,"PERFORMIX(TM) CREA-BEAD, MULTI-PHASE CREATINE, UNFLAVOURED, (a) 30 SERVINGS, UPC 8 11274 02239 8; (b) 45 SERVINGS, Distributed by Performix LLC, 221 S. Cherokee St., Denver, CO  80223, UPC 8 11274 02203 8"
F-0458-2018,"Yorgos FOODS Roasted Red Pepper Hommus  8 oz. (227g) UPC: 7 56248 10016 2 and 16 oz. (454g) UPC: 7 56248 10017 9 and NET WT. 5 LBS 80 oz (2268g). Product is packaged in a clear plastic container, keep refrigerated."
F-2215-2017,30 count Lays Kettle Cooked Multipack Tray 41.25 oz. packaged in flexible plastic
F-2260-2017,"Refrigerated, ready-to-eat, sliced, hot  SMOKED TROUT fillets in 8 oz. vacuum packages -- KEEP REFRIGERATED-- 38 DEGREES F or Below --- THE SMOKEHOUSE OF NY, MAMARONECK, NY 10543"
F-3190-2017,"B30728,  PREDUST X1,  NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3072-2017,"A81252, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3069-2017,"A80742, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3167-2017,"B27672,  BATTER MIX X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-0239-2018,"Saut¿ Kit, 20 OZ  UPC 24261300000    Sold in Albertson's and Safeway Stores packed in clear plastic trays and cups."
F-0582-2018,"Besan Burfi, 1 lb. clear plastic clamshell containers."
F-0215-2018,BrightFarms Baby Greens Blend (4 oz. and 8 oz. package)
F-3155-2017,"B21105, BATTER MIX, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3088-2017,"A83475, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3529-2017,"Major Tri-Vita Drops, 1 2/3 oz (50 mL)"
F-3100-2017,"A85602, BATTER MX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3104-2017,"A90979, PREDUST X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-2618-2017,"Nutrifuel - Figgilicious Nutrition Bar    Gluten Free, All Natural,  Vegan, 9 g protein    1.76oz. (50 g)    YouBar Inc. Monterey Park, CA."
F-0583-2018,"Besan Ladoo, 1 lb. clear plastic clamshell containers."
F-2261-2017,"Refrigerated, ready-to-eat, hot SMOKED STURGEON, HAND SLICED PACKS, 4 OZ. in vacuum packages, UPC 0200000309800 -- KEEP REFRIGERATED -- STORE AT 38 DEGREES F or Below --- THE SMOKEHOUSE OF NY , MAMARONECK, NY 10543"
F-1790-2017,"Copper wood Colby Jack Mini Horn, 4/6#"
F-2461-2017,"HIPP Anti-Reflux AR Bio-Spezialnahrung, 500g (4/case)"
F-2985-2017,"B30641, PDEBWF001 Pre Dust X1, NET WT 40 LBS, Manufactured By:  Newly Weds Foods, Inc., Chicago, IL 60639"
F-3166-2017,"B27657,  BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3013-2017,"A25759, BATTER MIX X1@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1344-2017,"Dr. Pepper, 2 Liters (2.1 qt) plastic bottles, Bottled under the authority of Dr. Pepper Company, 5301 Legacy Drive, Plano, TX 75024."
F-2370-2017,"D'Allesandro Woodland Foods  De-stemmed Birdseye Chiles   1, 5, and 35 lbs., food service,  bag in box container, singe unit per case."
F-3272-2017,"B57602, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3157-2017,"B22384, BATTER MX X2@, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-1883-2017,"VEGETARIAN MINCED MEAT WITH SHIITAKE 5 1/3 oz.. cans, 24 cans per case.     Product of Taiwan  UPC CODE: 0 76277 10932 6    Companion Foods Corp. Taipei, Taiwan"
F-2311-2017,"Aunt Jemima(R) Original Thin French toast, 144 COUNT, NET WT 13.5 LBS, UPC 001960005870"
F-2538-2017,"Salinity sea salt Saltwell, Saltwell 57 and Saltwell for Organic Use 50 lb. bags"
F-3134-2017,"B10065, FINE CRAX MEAL, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-3095-2017,"A84249, BATTER MIX X1, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639"
F-0656-2018,"Jicama Julienne, Brand Produce"
F-1334-2018,Eggo Homestyle Waffles 24ct 29.6oz    UPC: 38000402807    Target item number: 270-5-49
F-0412-2019,Internal Cleansing Kit Peppermint
F-0609-2019,"Ukrop's Cuban Style Sub,  NET WT 8.3 OZ (235g),   UPC 72251525152"
F-0415-2019,Parasite Cleansing Kit Peppermint
F-1468-2018,"Fresh Microgreen Mix, Greenbelt Microgreens brand, net wt. 75 gram. Product is packaged in a clear plastic clam shell container.  UPC 8 90082 00041 4"
F-1356-2018,CW ULTIMATE SOUTHWEST VEG 14OZ    UPC: 70332002881    Target item number: 270-0-4
F-0027-2019,"Lic's REESE'S OREO, ONE QUART (946 mL), packed in Plastic quart container"
F-0322-2019,Fire-Roasted Home-Style Green Pepper Strips;:    Sold in 20 lb.  containers. Brand Name: Jon-Lin¿
F-1660-2018,Prinova brand  Product - Reginator NV (41825)  25 Kgs Fiber carton double layer polyethylene bag as liner
F-1201-2019,"1 lb QVC combo, 1 lb combo, 2 lb combo, 12 oz combo, 8 oz combo, holiday combo"
F-1862-2018,"Brown Gravy Mix  16 oz unit, 24 units per carton  Item 1000011214"
F-1160-2018,"Protein key brand Protein Meals varieties, 2.5 lb plastic container and 400 g plastic container, Varieties: Essentials Plain"
F-1470-2018,"Spicy Microgreen Mix, Greenbelt Microgreens brand, net wt. 75 gram.  Product is packaged in a clear plastic clam shell container. UPC 8 90082 00000 1"
F-1152-2018,"Protein key brand Protein Meals varieties , 2.5 lb plastic container and 400 g plastic container, Varieties:   Children's Plain"
F-0956-2018,"Lbs, flv roast dark type, 30 # Boxes"
F-1362-2018,10.8 oz. BIRDS EYE Steamfresh WHOLE GREEN BEANS    UPC: 14500021571    Target item number: 270-0-92
F-1360-2018,GARDEIN 10.5OZ MNDRN CHICKN    UPC: 842234000742    Target item number: 270-3-85
F-1708-2018,"Roctane Ultra Endurance Energy Gels:  Tutti Frutti Roc Gel:  ROC GEL 1 Pkt, Item # 124315, UPC: 76949310247;  ROC GEL 24 Pkt Box, Item # 124314, UPC: 769493102461."
F-1246-2018,MORNINGSTAR MEAT FREE CORN DOGS 10;    UPC: 28989975003    Target item number: 270-3-159
F-0243-2019,"Fire Roasted 1/4"" Diced Poblanos;    Sold in 25 lb.  containers. Brand Name: Jon-Lin¿ NatureSmart¿"
F-0257-2019,Saut¿ed Green Pepper Strips:    Sold in 25 lb.  containers. Brand Name: Jon-Lin¿
F-1240-2018,MP 40oz Antioxidant Blend    UPC: 85239273937    Target item number: 270-14-393
F-0254-2019,Fire-Roasted Corn & Black Bean Blend;    Sold in 2 lb.  containers. Brand Name: Jon-Lin¿ NatureSmart¿
F-0406-2019,Millville Maple & Brown Sugar Instant Oatmeal 15.1 oz.  10 individual serving size packets per 15.1oz retail unit.  UPC:  041498 149628
F-0409-2019,Toxin Absorber with Organic Peppermint Leaf - 14 packets and 30 packets
F-0704-2018,"Wienke's Market Apricot Jam, Net Wt. 8 oz (226g), UPC 14106-00201.  Refrigerate after opening.  Ingredients:  Apricots, sugar, pectin."
F-0250-2019,Fire-Roasted Rubio's Fresno Chili ;    Sold in 2  lb.  containers. Brand Name:  Chef Sensations¿
F-0038-2019,"Sweet corn, Net weight 20 pounds, Marshalltown IA"
F-1546-2018,"Pious Lion Pure Premium Potent Limited Release Pink Bali, 1 oz plastic bag. 833-AVL-KRTM www.piouslion.com"
F-1588-2019,"Sorghum, Mfg. by Ozark Country Sorghum, Dunnegan, MO 65640, Net Wt. 2 lb. 14 OZ. packaged in glass jars"
F-1878-2018,"Asiago Peppercorn  50 pound bag,   Item 859081400"
F-1986-2018,"Gotham Greens Classic Pesto  6.5 oz. plastic cup, 12 cups per case.  Refrigerated.  UPC 85392700334"
F-1620-2018,Earthrise Natural Spirulina; Net Weight: 20.0 kg( 44.0 lbs); Double bag sealed - 1 bag per box.  UPC: 0 32602 99040 3
F-0034-2019,Sprite 12 FL OZ (355 mL) CONTAINS PHENYLALANINE CAFFEINE FREE THE COCA-COLA COMPANY FOR CONSUMER INFORMATION CALL 1-800-438-2653 UPC 0 496120 4
F-1784-2018,"10.8Z RTZ EVERYTHING CRM CHSE 14 (11 & 16)  10.8 Oz per tray, Plastic sleeve in tray,14 trays per case"
F-1985-2018,"Swanson Ultra, Himalayan Crystal Salt, #SWU403, Net Wt. 35.27 oz. (2.2 lbs) (1,000 grams).  Product of Pakistan.  Distributed by Swanson Health Products, Fargo, ND  58104."
F-0620-2019,"Wegmans Pumpkin Loaf, 19 oz., UPC 77890 27002"
F-0636-2019,"Mast Store Provisioners, Toasted Corn, Net Wt. 8 OZ. clear plastic bag"
F-0214-2019,Fire Roasted Super Sweet Corn:  Sold in 20 lb. Brand Name: Chef Sensations¿
F-0959-2018,"Bourbon Brown Sugar Rub SE746665, 50# Bags"
F-1195-2019,"Sea Salt Bauer's Candies Modjeskas NET WT 8 oz bag, bulk, 4 oz bag, 1 lb, 2 lb, 8 oz box"
F-1157-2018,"Protein key brand Protein Meals varieties , 2.5 lb plastic container and 400 g plastic container, Varieties: Healthy Weight Plain"
F-1233-2018,BREYERS 1.5QT FRENCH VANILLA    UPC: 77567254382    Target item number: 288-7-790
F-1766-2018,Vitale Brothers  Pepperoni Roll  4.8 oz. (principal display panel incorrectly states .32 oz.)  UPC1589410015
F-1285-2018,Ben & Jerry's Pint Slice Tonight Dough    UPC: 768400010028    Target item number: 288-7-2762
F-0801-2019,"Nutty Choco Pop, 10 oz. bag.  Sold in the following configurations:  Item #101, Gift Box (contains 1-10 oz. bag),  Item #1728 Holiday Crowd Pleaser (contains 5-10 oz. bags), and #9676 Crowd Pleaser (contains 5-10 oz. bags)."
F-1337-2018,MorningStar Spicy Black Bean Buger Value Pack 18.9oz    UPC: 28989100665    Target item number: 270-3-114
F-1193-2019,"Modjeskas Bauer's Candies NET WT 8 oz, 12 oz, 16 oz, 32 oz. boxes & 4 oz, 8 oz bags, 400 pc case, 216 pc case"
F-1283-2018,11.25-oz. Market Pantry < Texas>    UPC: 85239101933    Target item number: 270-10-193
F-1319-2018,Market Pantry Homestyle Waffles 10ct 12.3oz    UPC: 85239260005    Target item number: 270-5-260
F-0634-2019,"Mast Store Provisioners, Simply Kettle Sweet 'N Spicy Trail, Net Wt. 8 OZ. clear plastic bag"
F-0628-2019,"Gatorade Vanilla Protein Shake, 330-mL, Primary Package HDPE in a 12pk case"
F-1300-2018,Ben & Jerry's Moophoria PB Doughlicioius 1pt    UPC: 76840001439    Target item number: 288-7-1145
F-0983-2018,"diet pepsi caffeine free Classic Diet Pepsi Taste, 12 FL OZ (355 mL), UPC: 0 12000 17230 4"
F-0327-2019,Fire-Roasted Red Jalapeno Slices;    Sold in 2 lb.  containers. Brand Name: Jon-Lin¿
F-0225-2019,Sauted Muchrooms:  Sold in 500 g package. Brand Name: none
F-1224-2018,MorningStar Grillers Original Value Pack 18oz    UPC: 28989100801    Target item number: 270-3-112
F-1203-2018,Grown in Idaho Crispy Crinkle Cut Fries    UPC:  43301611674    Target item number: 270-1-22
F-1173-2018,"Stuffed FOODS Edamame Burger, MFG ITEM # 06100   UPC: 108500821003752  3 - 3lb plastic bags in box"
F-1288-2018,BERTOLLI 24OZ SHRMP SCMPI LING    UPC: 31000650100    Target item number: 270-11-141
F-0231-2019,Fire-Roasted Homestyle Julienne Tri-Colored Pepper Strips;    Sold in 20 lb.  containers. Brand Name:Jon-Lin¿ NatureSmart¿
F-1988-2018,"Caffeine-Free Barq s Root Beer 12 Pack, 12 oz cans"
F-0886-2019,"RXBAR: Maple Sea Salt, 1.83 oz bars, single bar, 2-count carton, 4-count carton"
F-0661-2019,"Square Shell for Turnovers, Elaboracion Felo, Inc. Avenida Yumet No. 112, Aguadilla, PR 00603"
F-1551-2018,"EconoMax Vanilla, 4 quarts and 56 ounces"
F-1932-2018,"Virt-Nate Tablets, Number of units per package: 100 Tablets  Package Type: 100 Tablets/Bottle"
F-0913-2018,Thyroid Resilience 120 count bottle packaged in an amber plastic bottle with black cap
F-0361-2019,"Organic Mind Body and Soul - Breakfast Blend Decaf, packaged in 2.25 oz. pillow packs."
F-1711-2018,"GU Energy Chews;  Orange, Chews;  CHEWS 1 Pkt, Item # 124182, UPC: 769493101457;  CHEWS 18 Pkt Box, Item # 124178, UPC: 769493101419."
F-1369-2018,Market Pantry Mini Sundae Cone 10 pack 22.5 oz    UPC: 492880701786    Target item number: 288-7-178
F-0061-2019,"Blackwing Meats. Inc., Ground Venison, 10/1lb,  packed in cardboard sleeve/ roll stock film inside, in aRetail Box."
F-0423-2019,La Mexicana (Pico with) Guacamole 10 oz..
F-0707-2019,"Gatorade, Orange, 20.3 FL OZ, Cont. Neto (600 mL)"
F-1150-2018,"Protein key brand Protein Meals varieties, 2.5 lb plastic container and 400 g plastic container, Varieties: Bone & Joint Plain"
F-1606-2018,"Icelandic Provisions Vanilla Skyr cups, 5.3oz package, UPC: 854074006068"
F-1547-2018,"Pious Lion Pure Premium Potent White Maeng DA, Bright Uplifting Energy, 4 oz plastic bag. 833-AVL-KRTM www.piouslion.com"
F-0346-2019,"S & W White Beans, Net Wt 15 oz (425g), UPC 72273-38807.  Distributed by Faribault Foods, 1818 2nd Ave NW, Faribault, MN  55021-3035."
F-1375-2018,Simply Balanced 10OZ ORGANIC STRWBRY    UPC: 85239001745    Target item number: 270-14-285
F-0982-2018,"diet Pepsi Classic Diet Pepsi Taste, 12oz cans, sold as a 12 pk, ambient storage."
F-1198-2018,MARKET PANTR 71-90CT CKD TAIL OFF;    UPC:  85239032800  Target item number 210-7-456
F-1154-2018,"Protein key brand Protein Meals varieties , 2.5 lb plastic container and 400 g plastic container, Varieties: Digestive Plain"
F-1491-2018,Hot Dog Buns
F-1597-2018,"Al Reef dried apricot sour, 12 oz., packed in plastic, 24 packages per case"
F-0926-2018,"French Rose Clay;  with Mineral Rish Moroccan Rhassoul Clay  2.1 and 0.17 oz. jars      evanhealy    Hand Made in CA by  Plant Divas Inc., San Diego, CA 92064"
F-1923-2018,"Red Chard was shipped in card board boxes that are labeled with the firm name ""Howard Calcagno, Aurora, OR 97002""."
F-1699-2018,"GU Energy Gels:  Vanilla Bean, Gel;  GUGEL 1 Pkt; item # 123017, UPC: 769493100023;  GUGEL 8Pkt Box, item # 123032, UPC:  769493900012;  GUGEL 15 Serve Pkt, item # 124099, UPC: 769493100870;  GUGEL 24Pkt Box; item number 123049,  UPC:. 769493200020."
F-0253-2019,Fire Roasted Yellow Pepper Strips;    Sold in 20 lb.  containers. Brand Name: Jon-Lin¿
F-1873-2018,East Cheddar SNKSE  1600 pound tote  Item 702118702
F-0896-2018,"Caffeine Free Coke Zero, 12 oz (355 mL) cans, packed in 12 and 24 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA"
F-0030-2019,Safeguard Soft Flr (GIV) packaged in 50 lb bags
F-0859-2019,DrNatura Toxinout Kit Broad Spectrum Detoxification Program
F-0324-2019,"Fire-Roasted 1/4"" Diced Jalapenos;:    Sold in 25 lb.  containers. Brand Name: Jon-Lin¿ NatureSmart"""
F-1867-2018,"Cold Dough Premix  2.303 pound bag, 18 units per carton  Item 127042500"
F-1236-2018,MP NOVELTIES 12CT KIDS IC BARS    UPC: 85239076101    Target item number: 288-7-2610
F-1274-2018,BREYERS 1.5QT VAN/CHOC/STRW    UPC:77567254269    Target item number: 288-7-784
F-0726-2018,"Wienke's Market Plum Jam, Net Wt. 8 oz (226g), UPC 14106-00226.  Refrigerate after opening.  Ingredients:  plums, sugar, pectin."
F-1757-2018,AnnaSea Wasabi Ahi Poke Hawaiian Poke Kits
F-1918-2018,"Bok Choy was shipped in card board boxes that are labeled with the firm name ""Howard Calcagno, Aurora, OR 97002""."
F-1928-2018,"Mint was shipped in card board boxes that are labeled with the firm name ""Howard Calcagno, Aurora, OR 97002""."
F-0249-2019,"Fire-Roasted 1/2"" Diced Tomatillos;    Sold in 25  lb.  containers. Brand Name:  Jon-Lin¿"
F-1280-2018,Ben and Jerry's One Love 1 pt.    UPC:76840036745    Target item number: 288-7-170
F-1366-2018,BIRDS EYE 10OZ STMFRSH SWET CORN    UPC: 14500020994    Target item number: 270-0-570
F-1193-2018,Enlightened Movie Night Pint      UPC:  852109331109      Target item number 288-7-1798
F-0209-2019,Fire-Roasted Red Pepper Julienne Strips:  Sold in 2 lb. and 25 lb. packages.  Brand Name: Jon-Lin¿ NatureSmart¿; Jon-Lin¿
F-1925-2018,"Bright Light Chard was shipped in card board boxes that are labeled with the firm name ""Howard Calcagno, Aurora, OR 97002""."
F-0906-2018,"Dr Pepper Diet, 12 oz (355 mL) cans, packed in 12 and 24 packs, Canned under the authority of Dr Pepper Company, Plano, TX"
F-1813-2018,"FP0392, Confidence, Glucosamine Plus, with White Willow Bark & Boswella, 90 Extended Release Tablets, UPC# 8 10891 02253 7"
F-1137-2018,"Bloody Hell Mary, HOT,  Kitchen By The Sea, From the Beach House, Net Wt. 32 oz. (.9L), Low Sodium"
F-0359-2019,STREET CORN;   6oz. Plastic Clamshell;  Keep Refrigerated;  UPC 0884853641067
F-1456-2018,"Bombay Kitchen Bhavnagri Mix, packaged in a 19 oz., clear bag, UPC: 808550110206"
F-1354-2018,Eggo Cinnamon French Toast Sticks 32ct 12.7oz    UPC: 38000766039    Target item number: 270-5-27
F-1364-2018,BIRDS EYE 10 OZ STM FRSH MIX VEG    UPC: 14500021281    Target item number: 270-0-574
F-0760-2019,"Tamy Pop 18 pieces Net Wt. 1 lb. 15.7 oz. packaged in a clear plastic jar, 6 jars per case"
F-0705-2019,"Gatorade, Frost Glacier Freeze, Cont. Neto (600 mL)"
F-1309-2018,MP PREMIUM I 48OZ CHOC FUDG BRWN    UPC: 85239735619    Target item number: 288-7-3561
F-1316-2018,30OZ MARKET PANTRY SHREDDED HASH BROWN    UPC: 85239454015    Target item number: 270-1-454
F-1687-2018,"GU Energy Gels:  French Toast, Gel;  GUGEL 1 Pkt; item # 124523, UPC:769493103239;  GUGEL 24Pkt Box; item number 124528 ,  UPC: 769493103246 ."
F-0329-2019,FIRE-ROASTED ORGANIC SUPER SWEET CORN;    Sold in 1500 lb.  containers. Brand Name: Jon-Lin¿
F-0801-2018,"BROLITE PRODUCT #5015 SPONGE AND DOUGH, Net Wt. 50 Lbs"
F-0664-2019,"Queseria ""La Milagrosa"" La Delicia al Paladar.  1/2 kg and 1 kg sizes.  Packaged in a plastic bag with a yellow label."
F-1609-2018,"FUNKTIONAL FOODS brand SPIRULINA POWDER, NET WEIGHT 3.5 oz (100 g) with UPC Code: 060427570192"
F-0899-2018,"Coca-Cola, Original Taste, 12 oz (355 mL) cans, packed in 12 and 24 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA"
F-1311-2018,26OZ MARKET PANTRY THIN CUT FRIES    UPC: 85239011812    Target item number: 270-1-81
F-1780-2018,"40Z NAB CLASSIC VPACK SC,  120CT MOD	40 Oz	Carton  6 Ritz Bitz 1 Oz Pouches per case"
F-1596-2018,Pacific Brand Charcoal Grilled Eel.  Premium Quality Unagi Kabayaki      UPC: 692156201099
